16 100.026 89.1845
24 148.68 132.975
32 193.817 173.587
48 282.341 251.767
64 371.145 330.523
96 527.082 474.059
128 675.235 610.433
192 917.71 826.669
256 1136.5 1033.28
384 1488.46 1368.01
512 1742.13 1602.93
768 2137.49 1980.59
1024 2405.72 2239.63
1536 2687.06 2579.01
2048 3435.75 3282.43
3072 4403.04 4220.65
4096 5346.08 5175.44
6144 6430.49 6229.73
8192 7400.74 7123.72
12288 8407.34 8222.72
16384 9005.38 8852.84
24576 9843.62 9735.23
32768 10247.9 10149.1
49152 10648.7 10542
65536 10907.2 10848.2
98304 11188.9 11152.7
131072 11339.3 11313.3
196608 11469.7 11453.5
262144 11533.4 11506.8
393216 11620.9 11611.2
524288 11649.1 11063.8
